province_code,Q229NETINCOME,Ageofhead,Q61035POLICE,Q61038LIGHT,Q224ANOMONEY,income,Total_IOPBV,Total_number_of_convictions,Q531FOOD,Q531PUBTRAN,Q531PREPRIM,Q531PRIM,Q531SECOND,Q531CLINIC,Q531HOSPITAL,Q531POLICE,Q531RELIG,Q531BANK,Q531POSTOFF,Q531WELFARE,Q531MULTI,Q653AREA,Q658VALUE
7.0,5000.0,37.0,2,2,2.0,0.0,0,0,5131,968,1447,1298,1228,1484,9917,8740,7652,5456,6537,6360,5873,-777,-777
9.0,600.0,35.0,2,2,2.0,0.0,0,0,34,241,484,339,206,159,19042,10191,108,19288,17329,19360,17603,-777,-777
7.0,400.0,28.0,1,1,1.0,0.0,0,0,14611,532,877,640,881,597,17923,926,476,18280,581,14746,12247,-777,-777
1.0,0.0,32.0,1,1,2.0,0.0,1,0,1490,1425,1480,1426,1141,1542,1799,1697,1894,1468,1762,1231,1506,-777,-777
7.0,1000.0,58.0,1,1,2.0,0.0,0,0,900,687,583,564,751,533,734,514,525,550,999,560,-666,-777,-777
7.0,5000.0,40.0,1,2,2.0,0.0,0,0,487,355,260,275,1981,258,130,28248,49,41,762,1433,1314,-777,-777
1.0,20000.0,29.0,1,1,1.0,0.0,0,0,3287,4574,4684,4853,2818,2859,4882,3592,2819,2541,3966,3771,4159,-777,-777
8.0,5000.0,44.0,2,2,1.0,0.0,0,0,1434,944,895,618,1000,871,3971,4397,411,4405,4411,2703,4241,-777,-777
6.0,700.0,26.0,1,1,2.0,0.0,0,0,965,689,1616,1397,2441,4781,9633,8871,1187,5741,8743,8126,8051,-777,-777
6.0,2000.0,30.0,2,2,1.0,0.0,0,0,-999,537,628,683,-999,162,-999,-999,60,-999,-999,-999,-999,-777,-777
9.0,2000.0,20.0,2,2,2.0,0.0,0,0,3762,67,4659,3605,1895,58,2531,3884,497,4167,4956,4166,2760,-777,-777
3.0,2000.0,39.0,1,1,2.0,0.0,0,0,140,160,9475,7325,9060,345,21980,5559,7887,23603,174,5335,2725,-777,-777
6.0,6000.0,38.0,2,2,1.0,0.0,0,0,275,818,833,41,388,588,28629,25585,738,22515,205,584,937,-777,-777
7.0,0.0,22.0,2,2,9.0,0.0,0,0,23745,29190,23732,29572,21243,23005,22788,27415,23388,21950,21637,29758,21587,-777,-777
2.0,4800.0,32.0,1,1,1.0,0.0,0,0,664,1232,999,1330,1560,554,2529,1409,923,673,607,3984,867,-777,-777
3.0,8000.0,37.0,1,1,2.0,0.0,1,0,230,258,1809,1006,2393,28,8614,3558,383,4271,4953,2874,183,-777,-777
3.0,3000.0,58.0,1,1,2.0,0.0,0,0,348,343,925,800,561,757,634,749,111,694,617,986,877,-777,-777
5.0,2000.0,39.0,2,1,2.0,0.0,0,0,254,141,271,161,199,948,17533,6185,183,16136,2677,2792,1509,-777,-777
7.0,22000.0,35.0,2,1,2.0,0.0,3,3,1970,1548,3268,2292,3615,5198,5546,16258,2276,11927,19376,-666,-666,-777,-777
7.0,700.0,27.0,1,1,2.0,0.0,1,0,183,372,102,410,3,130,1982,165,1,12,249,1400,1088,-777,-777
7.0,5000.0,28.0,2,1,1.0,0.0,0,0,330,419,449,147,603,1217,3985,1025,1262,1170,1307,1498,1678,-777,-777
7.0,6000.0,32.0,1,1,2.0,0.0,2,0,6489,3836,43,394,3681,8621,4781,1486,1483,1240,1127,1791,1164,-777,-777
2.0,4000.0,23.0,1,1,2.0,0.0,0,0,43,221,737,990,2550,1801,1801,3253,308,180,335,1323,1702,-777,-777
4.0,2500.0,47.0,1,1,2.0,0.0,0,0,313,368,923,986,633,1337,1366,1975,911,1788,1672,1503,2214,-777,-777
5.0,1000.0,47.0,1,1,2.0,119.565174,3,0,983,358,3844,3673,2323,2182,1026,1235,3652,2902,1842,1745,967,-777,-777
7.0,3000.0,58.0,1,1,1.0,301.940347,0,0,199,229,260,9,27,833,968,252,133,790,713,657,192,-777,-777
8.0,2000.0,77.0,1,1,1.0,362.281096,0,0,9934,419,903,943,928,4940,9092,8458,705,6514,8676,2697,7998,4,1782
9.0,2000.0,27.0,2,2,1.0,614.473491,0,0,218,890,232,3,1198,8313,25635,19387,228,21127,26022,11220,-666,-777,-777
7.0,1000.0,52.0,2,1,1.0,533.033986,0,0,13012,447,1867,4287,3629,3684,18554,11720,191,13093,13761,6262,-666,30,8090
8.0,5000.0,55.0,2,1,1.0,355.355991,0,0,13,6364,5347,8254,8367,13045,20008,20276,701,10763,13046,29617,28118,23,4868
1.0,1500.0,49.0,1,2,1.0,363.727741,1,0,480,420,193,251,112,427,4887,211,304,3003,887,21,450,26,575
