province_code,Q229NETINCOME,Ageofhead,Q61035POLICE,Q61038LIGHT,Q224ANOMONEY,income,Total_IOPBV,Total_number_of_convictions,Q531FOOD,Q531PUBTRAN,Q531PREPRIM,Q531PRIM,Q531SECOND,Q531CLINIC,Q531HOSPITAL,Q531POLICE,Q531RELIG,Q531BANK,Q531POSTOFF,Q531WELFARE,Q531MULTI,Q653AREA,Q658VALUE
2.0,3500.0,94.0,2,2,2.0,38377.25,0,0,1034,96,805,849,1471,2621,3045,4689,1279,27330,2958,3980,1540,182,22669
8.0,6000.0,60.0,1,2,2.0,43870.180813,0,0,807,212,871,558,939,870,26190,752,989,25224,604,710,516,88,63362
4.0,5000.0,63.0,1,2,1.0,32905.347878,0,0,1828,570,963,1544,824,5589,1735,1115,2077,3905,4759,4399,-777,145,176763
9.0,3000.0,40.0,2,2,2.0,21937.25,0,0,310,188,1944,627,739,2703,18470,12147,284,13908,14079,11122,13462,59,35585
9.0,3000.0,64.0,2,2,2.0,21939.129142,0,0,1525,935,516,931,900,1386,13700,13729,130,14821,12601,11143,16935,91,98036
5.0,5000.0,67.0,1,2,1.0,49364.520179,0,0,24,102,-999,1460,1052,1153,27851,25043,15,25887,4041,21065,22666,43,19570
8.0,2000.0,84.0,2,2,2.0,21941.074314,0,0,784,738,1423,1248,1666,1657,26113,29841,706,29765,931,23915,27535,39,90334
6.0,1000.0,62.0,2,1,2.0,21941.074314,0,0,631,741,1296,1680,1855,1466,26071,685,451,24241,589,507,24753,39,92687
9.0,3000.0,21.0,2,2,2.0,10970.968841,0,0,1062,653,1064,1334,1782,1312,22582,25113,594,22387,28633,29333,20999,109,29798
2.0,1500.0,41.0,2,2,2.0,10970.968841,0,0,27862,217,56,20,13864,262,26560,23653,418,22946,20397,22273,29016,65,28773
1.0,5000.0,43.0,2,1,1.0,38400.0,0,0,195,439,301,46,300,204,140,728,116,460,275,807,454,-777,-777
5.0,800.0,66.0,1,1,2.0,32924.761258,0,0,21049,136,1660,1661,4402,7237,6391,9463,24,29849,25654,20503,23687,179,82623
2.0,2000.0,83.0,2,2,2.0,27438.690611,0,0,3586,659,1279,1709,2867,3378,710,854,824,4988,4671,4637,2982,39,59856
5.0,4000.0,72.0,1,2,2.0,38415.010587,0,0,512,24,4838,4649,1334,17531,21077,13766,2035,21695,24988,14307,23088,30,155509
9.0,3000.0,66.0,2,2,1.0,32936.756141,0,0,1571,10996,-666,170,25943,29211,29095,25691,538,27937,22120,25925,-666,32,22490
9.0,4000.0,59.0,2,2,1.0,21961.597466,1,0,2221,811,903,390,735,734,2393,8703,110,5392,7337,5606,7643,43,41789
6.0,0.0,62.0,2,2,1.0,54909.44333,2,1,55,379,505,515,519,13778,20961,29358,960,29479,27508,21061,914,47,20145
8.0,1350.0,61.0,1,1,1.0,21967.40589,0,0,200,433,390,361,986,512,2246,1118,178,3560,2956,4090,3271,80,69862
5.0,1000.0,70.0,2,2,2.0,49467.25,0,0,843,230,1157,1107,2033,5997,20450,25127,26637,20603,26534,26214,21903,-999,41900
2.0,2000.0,42.0,1,2,1.0,16490.289404,0,0,557,135,285,467,1562,9553,8581,9305,239,9875,6414,7720,17037,52,5419
5.0,800.0,36.0,2,2,2.0,5497.25,0,0,417,347,1793,1634,2434,9193,26414,22012,20788,28427,25008,25517,20972,36,40796
9.0,2500.0,43.0,2,2,1.0,21990.25,0,0,976,858,1735,1679,1928,9769,13301,9361,977,9772,6404,6778,5805,21,19731
5.0,800.0,35.0,1,2,1.0,16497.25,0,0,447,642,973,904,829,2156,11666,2911,178,12458,11580,16222,18634,83,48545
9.0,5000.0,66.0,2,2,1.0,33001.659572,0,0,811,845,799,574,783,897,6247,9433,645,9461,7572,5218,739,81,126061
2.0,1000.0,52.0,2,2,1.0,16502.37794,0,0,69,308,806,584,1387,3980,11214,2238,357,4042,13842,18181,581,27,37141
2.0,2000.0,50.0,2,1,1.0,16509.061084,0,0,902,764,632,893,989,560,1381,1867,1879,1782,1957,1944,1844,-777,-777
8.0,5000.0,63.0,1,1,1.0,49536.105642,1,0,411,250,2231,3262,3246,1870,20775,786,858,25861,848,798,675,99,15768
5.0,400.0,42.0,1,1,2.0,11010.940289,1,0,311,285,2893,2183,7663,5154,21179,5024,994,15151,17423,18487,3859,63,26691
5.0,1000.0,39.0,2,2,1.0,49556.75,0,0,393,288,25101,55,8176,28836,14376,26404,67,23920,25275,24111,24996,41,1236
9.0,1500.0,62.0,2,1,2.0,38551.418263,0,0,868,533,239,1831,2982,3713,11137,11182,940,23871,10276,12657,7351,3,-666
7.0,1000.0,38.0,1,1,1.0,22030.0,2,0,894,702,990,712,864,817,800,554,856,753,505,605,543,-777,-777
5.0,5000.0,68.0,2,2,1.0,38568.584902,0,0,21337,238,1617,1124,18318,7482,14041,1095,722,29500,26636,23757,21273,104,43898
5.0,1000.0,55.0,2,2,1.0,27554.743878,0,0,24431,167,265,454,17167,14062,1704,20066,1726,23989,29329,29580,20852,71,38829
4.0,10000.0,57.0,2,1,1.0,22052.138365,1,0,356,348,99,665,1507,3963,6013,3035,131,3311,2248,1407,1500,118,-777
2.0,2000.0,26.0,2,1,1.0,5513.925621,0,0,3,297,499,137,967,608,1775,1024,286,1426,1723,1271,1604,16,8752
6.0,2500.0,35.0,1,1,2.0,22063.125,1,0,197,237,354,415,454,1799,1117,1523,462,796,750,681,37,79,9940
5.0,1500.0,74.0,2,2,1.0,44127.671118,0,0,733,617,861,8488,650,805,27923,7714,738,22722,23440,22255,888,90,31952
2.0,2500.0,70.0,2,2,1.0,16551.963047,0,0,2920,1378,1345,4078,4702,9201,18169,1418,1971,9813,6765,9150,6142,-777,-777
8.0,3000.0,27.0,2,2,2.0,16553.988366,0,0,656,2655,4897,4228,2997,4442,24197,20100,582,22600,5373,5041,9788,31,8709
2.0,800.0,63.0,2,2,2.0,16555.526834,0,0,960,652,1168,1196,1316,1909,4433,3599,1577,20462,1597,1399,25678,-777,-777
1.0,2000.0,83.0,1,1,1.0,55190.06314,0,0,1459,796,732,701,1693,1366,1510,1254,978,1561,1458,1168,502,-777,-777
2.0,2500.0,32.0,2,1,1.0,22076.905406,0,0,53,467,429,428,769,1402,15232,821,11,19405,12130,18614,687,59,-666
6.0,5000.0,34.0,2,1,1.0,11040.0,0,0,462,711,671,622,1931,3545,8736,3444,8912,3483,3876,3321,5195,-777,-777
3.0,3000.0,64.0,1,2,2.0,22082.373605,0,0,528,847,886,802,555,739,677,808,700,970,639,667,786,96,26683
5.0,2000.0,65.0,2,2,2.0,22082.373605,0,0,23206,1108,3297,3586,6126,27704,21497,26055,6389,28429,29408,23310,-666,47,22195
8.0,40000.0,53.0,1,2,1.0,33128.204349,0,0,252,182,339,460,1089,1499,16947,4143,1574,3014,2942,15293,348,111,77361
7.0,0.0,43.0,2,2,9.0,27609.352241,0,0,1178,177,695,892,639,2453,3276,93,121,3231,3026,2267,1720,-777,-777
2.0,4000.0,49.0,2,1,1.0,27609.644219,0,0,449,456,652,673,1099,1997,4452,2928,477,5395,3742,8038,893,-777,-777
4.0,8000.0,30.0,2,1,1.0,33133.056142,0,0,444,679,985,682,714,639,637,873,569,592,563,532,-666,-777,-777
4.0,3000.0,59.0,1,1,1.0,33145.467914,1,0,101,9094,781,597,942,3875,12648,9202,1869,6044,8505,5535,7845,25,35330
5.0,10000.0,37.0,1,1,2.0,38669.863493,0,0,187,233,424,915,8612,7332,9301,6512,7638,5091,7976,9070,5067,106,-777
2.0,6000.0,53.0,2,2,1.0,33147.508821,0,0,73,473,56,89,126,22490,28915,24433,169,25988,25357,26361,23454,32,121966
8.0,5000.0,57.0,2,2,2.0,27623.872474,1,0,160,8,1116,1946,1431,4303,6797,7476,1356,9211,6638,4435,4959,40,17640
8.0,5000.0,37.0,2,2,2.0,22100.495146,1,0,19130,2343,1803,1210,1622,5955,28530,23764,629,18139,15961,13271,11627,95,34728
7.0,5000.0,57.0,2,1,1.0,22102.311208,0,0,153,435,248,7,144,449,28579,263,353,233,164,382,18,105,240011
8.0,2000.0,57.0,2,2,2.0,27638.075987,0,0,5406,1148,1727,1418,1146,-666,-666,10490,1427,6527,-666,7422,-666,118,36427
2.0,3000.0,40.0,2,2,1.0,27641.456951,0,0,617,1621,3502,4253,12757,13971,26248,11736,14485,18855,15160,13210,11309,-777,-777
1.0,5000.0,57.0,2,2,1.0,16586.186107,2,0,839,93,424,555,828,811,1113,1305,782,619,1379,1252,375,56,32842
5.0,1000.0,85.0,2,2,1.0,33172.669122,2,0,293,419,22938,3897,642,5120,20987,24834,849,22597,24928,23317,21093,87,7369
9.0,7000.0,94.0,2,2,1.0,27653.410631,1,0,238,496,1774,1847,1641,7415,12106,13732,1959,16750,17420,19968,7736,-777,-777
9.0,2000.0,56.0,2,2,1.0,16594.622304,0,0,913,245,247,122,466,18530,11406,16857,89,11382,10218,13997,15291,82,8580
7.0,5000.0,74.0,1,1,1.0,33191.984605,3,0,277,207,445,257,454,370,1251,1259,300,588,667,536,965,111,-777
4.0,4000.0,27.0,1,1,1.0,22128.044266,0,0,457,10,945,537,863,740,4560,2779,360,2222,4135,4994,528,47,15864
5.0,3000.0,73.0,2,2,2.0,22135.125,0,0,80,170,332,255,273,9140,28189,28296,424,29269,28206,27158,23425,34,7475
7.0,2000.0,53.0,1,1,2.0,11069.468193,3,0,788,122,54,298,392,902,22307,3491,208,2370,2496,3152,2102,59,72894
8.0,3000.0,55.0,1,2,1.0,16609.065081,0,0,6,647,1393,4540,784,1195,2052,3332,500,4419,4133,4632,587,-777,-777
2.0,10000.0,62.0,2,2,1.0,11072.710054,0,0,1889,424,200,1571,1898,3852,9763,5715,413,9691,7305,9491,-777,-777,-777
5.0,10000.0,55.0,2,1,2.0,27684.451473,0,0,2911,486,438,553,699,650,15927,16892,219,11049,16479,12085,16474,89,177598
5.0,3500.0,66.0,2,2,1.0,38762.840018,0,0,24375,100,5577,9403,20568,9660,24117,29065,1124,20124,20838,24276,-666,79,15687
6.0,5000.0,82.0,1,2,2.0,66451.674972,0,0,27507,358,441,199,385,294,20103,26700,283,24642,26514,25800,-666,119,22450
8.0,2500.0,65.0,2,2,2.0,22151.25,0,0,1443,982,3942,2961,4861,2345,18779,5030,772,17360,1465,19629,12348,53,80863
9.0,10000.0,82.0,2,2,2.0,27715.743562,0,0,923,544,4025,2827,1390,4893,8870,7073,4314,8132,2709,6609,5964,104,32400
8.0,2760.0,33.0,1,2,1.0,22177.24586,1,0,13229,83,426,243,4918,3951,23287,16458,18263,18983,15805,17151,11040,102,5264
9.0,1700.0,43.0,2,2,1.0,60994.546059,0,0,267,945,4551,3239,2876,17036,20812,14686,4506,29191,3300,28279,17341,44,51899
7.0,1600.0,41.0,2,1,2.0,22189.967668,0,0,742,834,633,501,551,2942,28996,3179,67,607,747,4639,3510,18,-777
1.0,3000.0,64.0,2,1,1.0,27738.253197,0,0,145,220,177,440,103,926,554,582,152,632,443,188,498,-777,-777
5.0,1000.0,65.0,2,2,1.0,49929.773752,2,0,544,56,4054,4701,1453,3607,5205,5762,1267,7610,8059,4991,5204,193,223859
9.0,1250.0,77.0,2,2,2.0,22196.805473,0,0,75,17,251,418,191,1087,1248,1478,90,1934,393,-666,-666,7,45086
5.0,1500.0,68.0,2,2,1.0,38848.662825,0,0,777,91,534,988,760,1148,1284,1833,934,1168,851,1266,1911,73,10622
8.0,2000.0,48.0,2,1,2.0,33307.85966,1,0,310,488,37,433,89,191,530,987,215,893,94,774,873,183,45177
8.0,10000.0,55.0,2,2,2.0,33331.022312,1,0,1505,707,473,427,342,995,1197,1298,490,1951,1015,371,255,42,7479
4.0,3000.0,36.0,1,2,1.0,27777.221479,0,0,461,731,3815,4439,3545,3029,2301,2466,175,4427,3097,2699,3375,-777,-777
5.0,1000.0,28.0,2,2,1.0,33335.456192,0,0,268,515,200,315,31,858,2344,-999,363,655,530,6286,973,129,-777
6.0,1000.0,56.0,1,2,1.0,5556.507095,1,0,279,245,864,834,1499,2509,13815,3132,255,11675,6148,3450,4664,41,44891
1.0,1510.0,44.0,1,1,1.0,33339.324868,1,1,782,264,486,486,130,819,837,585,7,526,546,710,626,74,203804
9.0,2000.0,19.0,1,2,2.0,11115.034478,0,0,304,630,6131,5238,14304,13737,24103,26084,537,24638,29103,22708,26496,49,81848
5.0,1000.0,79.0,1,2,1.0,16675.125,0,0,208,657,521,645,7553,5772,16066,8876,151,12295,19238,12121,18014,91,6686
3.0,2000.0,66.0,1,1,1.0,22235.599362,0,0,3,438,432,669,996,838,1643,605,297,1104,685,813,548,47,-777
6.0,400.0,58.0,2,2,2.0,16678.24592,0,0,16098,8388,8508,9621,8662,29711,27260,21316,25348,29730,24971,23864,22282,-777,-777
2.0,5000.0,21.0,2,2,1.0,16678.24592,0,0,449,840,504,723,1765,1051,1560,7463,201,1303,1248,1673,1000,-777,-777
2.0,3000.0,54.0,2,2,1.0,66714.880835,0,0,7678,8810,9642,7443,5969,5127,15963,23124,282,28516,29924,23427,21773,172,36532
1.0,1500.0,29.0,2,1,2.0,5559.780572,0,0,1807,297,479,476,125,97,1394,1651,434,1348,1486,1399,198,-777,-777
4.0,5000.0,35.0,1,1,1.0,16684.326514,1,0,343,202,379,427,490,324,-666,364,295,553,734,198,105,7,4882
3.0,1000.0,26.0,1,2,2.0,11123.875584,0,0,219,396,255,18,365,338,27184,496,245,150,234,-666,109,26,8429
7.0,330.0,23.0,2,2,1.0,16687.079983,0,0,254,776,332,1822,4836,1684,12006,7424,142,1302,1128,5017,672,352,71756
2.0,3000.0,53.0,2,2,2.0,38936.653966,0,0,462,588,706,922,2687,3955,28027,20821,910,22603,21367,25322,26020,165,43531
8.0,4000.0,80.0,2,2,2.0,44506.797326,0,0,303,93,308,53,313,312,452,245,219,232,237,212,440,-777,-777
5.0,1600.0,67.0,2,2,2.0,22256.521698,0,0,1966,1546,1157,2246,17101,25867,27342,21373,1140,24724,27047,26539,22495,90,28621
4.0,8000.0,58.0,1,1,2.0,44514.668275,0,0,369,801,530,897,671,10000,-666,8375,786,5842,5081,7580,686,15,10206
6.0,5000.0,50.0,2,2,2.0,38952.652605,0,0,173,354,595,765,24237,28618,24556,-999,828,28534,700,629,735,114,120085
4.0,5000.0,61.0,1,1,2.0,16702.626343,0,0,255,707,920,758,897,2750,5710,9173,292,7736,5590,8382,7215,8,6346
3.0,5000.0,42.0,2,2,2.0,27847.117613,3,0,16,498,986,1396,1565,1813,24458,20141,1495,28657,25419,26819,22612,64,1765
3.0,8000.0,59.0,1,1,2.0,33418.137064,0,0,11,809,795,918,859,953,11939,1527,94,1058,1320,1618,1800,117,-777
3.0,3000.0,93.0,2,2,2.0,16711.341501,0,0,208,381,205,466,69,1231,11201,18444,1357,27962,29043,21517,26088,18,33840
7.0,3500.0,59.0,2,1,1.0,16711.341501,1,0,936,792,1015,1225,7488,9290,8263,8869,700,5782,9299,6670,1071,48,34563
3.0,5000.0,71.0,2,2,1.0,33424.9806,0,0,3,473,667,692,4470,3952,15780,11100,443,19098,10293,17180,2138,94,49523
1.0,15500.0,35.0,1,1,1.0,16714.139839,0,0,83,965,959,932,981,605,2384,793,728,2000,666,4247,695,101,118655
5.0,500.0,26.0,2,1,1.0,39000.0,0,0,1231,1782,1163,1860,1479,1933,6196,6260,310,3356,1689,1255,1538,-777,-777
9.0,3600.0,80.0,1,2,2.0,33430.306425,0,0,7557,164,2407,948,1202,4615,3011,4199,337,7847,7422,21349,-666,115,92608
4.0,5000.0,38.0,1,1,1.0,11147.971487,0,0,169,455,202,207,134,306,-666,429,471,571,592,185,51,22,2313
7.0,5000.0,41.0,1,2,1.0,22296.872892,0,0,158,455,288,427,371,842,8269,930,213,395,5210,7692,6798,83,-777
1.0,7648.0,50.0,2,1,2.0,33446.364557,0,0,3753,215,303,255,386,230,1277,1202,480,1762,1421,1104,13,-777,-777
7.0,200.0,65.0,1,1,1.0,27875.991807,0,0,1024,1800,1729,802,761,1650,4903,2521,1591,3530,3693,4019,4397,259,114235
3.0,5000.0,42.0,2,2,1.0,27879.196778,0,0,809,614,716,759,25850,20246,21212,28575,717,27301,20259,28073,950,104,21606
8.0,6000.0,32.0,2,1,2.0,22305.387722,0,0,138,283,606,1581,3559,829,22252,15406,918,18805,12726,624,879,-777,-777
4.0,5000.0,71.0,1,1,1.0,22310.25,0,0,120,402,34,278,447,864,9013,221,412,2664,3834,2577,20520,20,12553
3.0,2000.0,43.0,1,1,2.0,33467.489318,0,0,391,474,516,843,543,653,780,547,618,847,821,419,77,7,-777
1.0,3000.0,43.0,1,1,1.0,5579.263049,1,0,90,36,341,347,1237,7862,1750,-999,510,1583,1416,1634,1604,4,24488
8.0,15000.0,32.0,1,2,1.0,5579.263049,0,0,309,476,8,561,1800,3312,17150,4656,631,2767,3751,18204,151,89,35246
2.0,1500.0,41.0,1,1,1.0,5579.263049,0,1,90,389,498,370,693,248,2791,3520,83,4927,4615,3120,2598,66,45182
2.0,3000.0,60.0,2,2,2.0,22317.387605,1,0,587,578,634,926,774,13977,24898,26387,23920,28841,28986,20513,29162,32,28317
4.0,1500.0,39.0,1,1,1.0,5579.708101,0,0,140,421,451,979,778,563,3218,1810,373,1901,1607,1100,27923,-777,-777
5.0,1000.0,25.0,2,1,1.0,11159.416201,0,0,1732,279,606,962,1527,4460,4258,3456,246,629,512,1648,1290,-777,-777
8.0,2000.0,44.0,2,2,2.0,22320.03921,1,1,629,927,1354,1405,1626,4422,22837,22056,748,27543,1780,4176,4730,36,4634
5.0,600.0,20.0,1,1,2.0,27902.207334,0,0,129,68,101,70,299,9660,5325,6549,4590,5715,6462,5123,6407,77,32603
9.0,50000.0,57.0,2,2,2.0,61411.037914,0,1,281,278,343,265,380,350,1957,1479,518,1828,1648,1613,1891,161,16262
3.0,4000.0,51.0,1,1,1.0,22331.853982,0,0,170,231,271,162,164,543,4559,830,1847,1498,1319,977,616,186,-777
5.0,1200.0,37.0,2,2,2.0,22335.31075,0,0,1433,300,1764,1024,6408,13006,10233,16751,481,15503,13898,17710,13582,238,34205
9.0,1230.0,60.0,2,2,1.0,22342.348308,1,0,54,386,496,126,546,486,18583,14085,181,15444,16797,19313,10999,13,33701
9.0,3000.0,44.0,2,2,2.0,33533.156748,1,0,190,418,875,526,676,2815,18692,2200,207,4284,3031,4772,2411,41,1032
2.0,5000.0,72.0,2,2,2.0,22358.130709,0,2,403,398,274,461,407,452,6613,5092,66,8695,6443,8796,216,31,44497
9.0,20000.0,39.0,1,2,2.0,44720.629973,0,0,168,512,710,827,898,6547,26977,27422,622,22326,25652,22580,806,56,8680
5.0,3200.0,54.0,2,2,2.0,39132.583723,0,0,674,754,1150,1465,1265,2485,4985,9457,9522,9698,6238,4682,2213,159,47307
6.0,4050.0,48.0,1,2,1.0,50320.131747,0,0,729,1241,1528,1218,1947,1390,23107,9226,352,9297,6306,5925,6384,30,7609
2.0,1500.0,58.0,2,2,2.0,72717.57489,0,0,706,275,763,1090,1347,19653,26661,17032,681,24079,25317,21874,25014,77,19075
5.0,1000.0,27.0,2,1,1.0,16782.488837,0,0,1719,693,885,996,659,1988,1623,1170,1957,1829,1303,1709,673,17,3514
7.0,5000.0,64.0,1,1,2.0,22382.502137,0,0,239,316,80,698,345,913,27118,1717,210,249,691,1392,953,82,24614
7.0,1500.0,38.0,1,2,2.0,22383.377698,0,0,102,222,1166,1496,1832,2512,4985,9416,1755,6560,6231,7152,8206,-777,-777
3.0,3500.0,44.0,2,2,1.0,27979.805475,0,0,25503,21646,22530,26982,23857,25516,26860,28900,24025,26644,28581,29115,26979,-777,-777
5.0,2500.0,69.0,1,1,1.0,27980.932242,0,0,86,847,619,553,605,879,28904,638,214,545,980,611,923,26,-777
6.0,1000.0,61.0,2,2,2.0,16789.830824,0,0,7139,1086,1848,1422,1020,1786,29804,7711,1602,798,716,777,708,45,6806
9.0,4000.0,48.0,2,2,1.0,27986.01917,0,0,557,466,789,1918,1812,4986,7477,7042,1341,9735,7236,5614,5811,37,49648
5.0,2500.0,47.0,2,2,1.0,27989.574394,0,0,28858,146,4991,9567,29868,5059,26945,20186,4402,27402,22975,26039,-666,-999,10422
5.0,900.0,37.0,1,2,1.0,67175.505466,1,0,2549,505,699,8074,4776,7705,29412,6545,705,9257,8925,25230,4187,107,28115
7.0,5000.0,49.0,1,1,1.0,27990.525979,0,0,5143,1422,1081,1903,1023,1931,5302,3322,1841,4381,2322,2747,-666,24,12807
5.0,2000.0,77.0,2,2,2.0,39197.25,0,0,899,510,1686,4991,8367,15593,19479,13536,11953,14917,29234,21094,23299,113,46634
7.0,1700.0,62.0,1,1,2.0,27998.796185,0,0,768,101,134,475,353,746,1009,158,70,1733,1277,758,761,138,16212
9.0,800.0,51.0,2,2,2.0,22404.645182,0,0,1045,1035,1858,1949,4462,15730,17406,18135,910,16760,8146,5864,5168,45,28902
1.0,10000.0,38.0,2,2,1.0,16803.634366,1,0,160,212,952,850,2622,658,6932,7628,872,584,1588,3737,3832,52,7030
7.0,3000.0,35.0,1,1,2.0,28008.378946,3,0,1280,115,1689,3590,4045,14943,13356,1965,376,4078,4347,2853,3827,-777,-777
5.0,2000.0,41.0,2,2,2.0,44813.563384,0,0,3333,1883,3599,2464,3996,14399,15420,10702,324,11841,12063,11483,13543,80,31630
2.0,2000.0,53.0,2,2,1.0,5601.696891,0,0,612,994,569,965,550,1563,1603,1101,568,1735,1061,1042,693,39,10707
5.0,1000.0,21.0,2,1,1.0,5603.77748,2,0,14715,320,359,4457,3447,12258,13041,5546,1340,13084,7498,17941,9079,170,20266
9.0,2000.0,19.0,1,2,1.0,16814.907577,0,0,129,258,371,346,1435,10079,26359,26401,340,26458,1276,26474,29041,37,5315
9.0,1000.0,51.0,2,2,1.0,28039.574982,1,0,968,921,977,884,940,1838,10339,6822,324,8187,4049,17839,6162,43,-666
2.0,4000.0,52.0,1,1,2.0,44873.092816,2,0,340,975,973,747,899,1000,713,642,3828,1844,1340,1010,1759,53,140480
5.0,4400.0,58.0,2,2,1.0,56097.966256,0,0,29864,469,847,1868,1995,1035,23307,1901,888,25676,26652,28973,29147,110,31647
2.0,3500.0,60.0,2,2,1.0,16830.25,0,0,1485,1079,1864,1566,8870,5780,15714,6950,14974,11969,12731,17954,7176,26,13190
5.0,2260.0,45.0,2,2,2.0,39275.661004,0,0,2273,1911,4410,4657,19363,19458,20300,27814,906,29548,24706,25874,25676,121,76603
3.0,1500.0,55.0,1,1,2.0,28057.686607,1,0,419,47,351,298,257,101,5395,1949,1810,520,527,801,2000,34,53911
1.0,8000.0,61.0,2,1,1.0,56130.239543,0,0,114,67,156,4931,4150,3498,10300,1336,9,2461,2018,4175,2576,-777,-777
5.0,1500.0,75.0,2,2,2.0,16839.937062,0,0,5925,4363,3277,2349,8192,5087,9018,3442,25192,8646,8478,21254,-666,50,17510
4.0,4000.0,44.0,1,1,1.0,5613.98636,3,0,16,164,415,212,479,2097,9612,4003,424,216,366,8304,3357,43,10107
3.0,5000.0,66.0,2,2,1.0,16844.058543,0,0,318,434,276,429,489,393,7013,5697,232,8884,28014,27830,1910,9,6513
5.0,500.0,45.0,2,1,2.0,22459.811877,3,0,319,447,158,376,1270,65,26242,427,226,25885,29916,28479,20583,30,37750
2.0,3000.0,88.0,2,2,1.0,33691.774906,0,0,7,432,291,444,290,1918,3430,4385,436,2680,4651,4218,319,41,4354
5.0,4000.0,58.0,2,1,2.0,22463.378421,0,0,107,253,767,935,761,953,806,1005,597,3880,5841,4831,-777,-777,-777
2.0,3000.0,78.0,2,2,1.0,50550.996409,0,0,224,179,334,70,764,4903,23006,4520,313,3775,3876,2976,4852,76,54908
1.0,5000.0,57.0,1,1,2.0,44938.769339,1,0,289,26,489,303,215,307,657,445,317,199,63,397,49,77,223327
4.0,2500.0,32.0,2,2,1.0,5618.182142,3,0,1584,660,1960,1681,2214,5444,6118,8147,454,16060,17362,15057,13288,-777,-777
5.0,400.0,43.0,2,1,1.0,39342.285878,0,0,4150,3887,2542,4365,3216,1748,17025,16574,470,2334,4707,17383,6670,239,184754
6.0,3000.0,33.0,2,2,2.0,33731.974161,0,0,666,492,679,1861,1737,1859,24735,7378,940,-999,1130,1486,1965,90,184282
2.0,7000.0,65.0,2,2,1.0,44983.007463,0,0,51,332,105,108,448,144,24403,27384,55,25444,25136,23054,27579,113,131167
2.0,5000.0,59.0,2,2,2.0,28117.30376,0,0,73,480,1036,1615,5031,17507,16512,10320,541,22477,21639,21647,674,103,27092
2.0,2000.0,47.0,2,2,1.0,44991.25,1,1,769,916,916,509,1115,1376,17951,1167,797,1575,1013,1801,27892,107,94253
7.0,700.0,28.0,1,2,1.0,33744.582777,0,0,15485,271,970,982,565,3187,25261,2170,926,29009,21744,10498,-666,46,18121
5.0,1000.0,36.0,2,2,1.0,28121.699233,0,0,14919,961,1274,1207,1974,4341,14842,17421,541,11131,14393,11492,15753,56,30461
2.0,4000.0,36.0,2,2,2.0,22499.985328,0,0,293,182,61,223,-666,17300,18590,17770,41,10809,19233,11946,13570,36,44725
3.0,4000.0,36.0,1,1,2.0,16877.999437,0,0,2,29,228,78,65,288,361,425,72,950,609,108,-666,128,240379
3.0,7000.0,56.0,1,1,2.0,33758.61289,2,0,234,391,179,619,951,1505,-666,284,1510,88,169,-666,621,92,-777
5.0,1800.0,54.0,2,2,1.0,67526.25,0,0,12833,935,792,878,7270,8173,23454,13476,7147,24364,25683,22086,18241,112,234694
8.0,10000.0,38.0,2,2,2.0,28139.778875,0,0,808,12628,883,729,847,-666,-666,-666,157,-666,497,-666,-666,183,162385
4.0,3500.0,55.0,2,1,2.0,22512.186434,0,0,412,232,456,834,1456,682,1265,799,885,4421,4334,3868,738,75,-777
1.0,10000.0,52.0,1,1,2.0,28158.818543,0,0,347,747,463,117,448,1049,4910,4858,902,1228,1483,1261,1761,49,-777
2.0,5000.0,74.0,2,2,2.0,28160.514723,0,0,1017,328,367,408,957,170,1994,1749,406,1295,160,1300,16486,115,42159
8.0,4000.0,16.0,1,1,2.0,5632.673667,0,0,277,414,116,269,960,740,637,795,1035,1856,1129,845,1767,-777,-777
2.0,2000.0,73.0,1,2,1.0,33800.755483,0,0,516,228,1904,1776,4388,3341,5528,6161,1406,9145,9567,6401,-666,-999,34424
4.0,4000.0,36.0,1,1,2.0,28171.273522,0,0,100,133,371,481,261,236,3532,1673,72,723,738,416,28471,85,70423
2.0,3000.0,71.0,2,2,2.0,22537.25,0,0,894,671,1375,1048,6883,5924,11323,19574,716,10978,12028,15279,11202,43,36943
4.0,1500.0,40.0,1,1,1.0,5636.219808,1,0,229,1823,8280,7517,5003,8880,10014,4784,616,4012,3414,10584,-666,-777,-777
2.0,13000.0,39.0,1,1,1.0,22544.990534,0,0,400,549,717,928,941,558,1450,1819,1305,1072,1033,1563,1193,-777,-777
9.0,3000.0,72.0,2,2,1.0,16911.979234,0,0,143,221,861,923,967,1066,1967,1212,459,1900,1040,1893,22946,5,12771
6.0,5000.0,31.0,1,2,2.0,28208.905456,0,0,471,29,441,622,674,1419,1291,796,605,1889,1102,588,717,31,8488
6.0,700.0,55.0,1,2,1.0,28213.160235,0,0,309,312,369,128,955,718,731,4536,288,2354,4169,923,911,59,23677
5.0,250.0,29.0,1,2,1.0,22587.16152,0,0,92,120,554,831,7721,7133,12387,3612,451,19311,12969,12059,10970,30,16942
2.0,1000.0,29.0,2,2,1.0,11295.817907,0,0,789,880,893,963,2669,2145,22353,2363,988,24241,28509,4077,568,40,11157
2.0,3000.0,49.0,2,2,1.0,33895.097738,0,0,1486,240,249,1234,1575,1956,-999,7734,1505,1524,7540,9970,1443,47,154197
5.0,1000.0,47.0,1,2,1.0,16948.718117,0,0,385,175,646,873,881,574,11168,7560,828,7625,7705,8572,-666,98,49239
